,phrase before,chandler's phrase
265," oh, i believe it. i think the baby can totally hear everything. i can show you. look, this will seem a little weird, but you put your head inside this turkey, and then we'll all talk, and you'll hear everything we say."," i'd just like to say that i'm totally behind this experiment. in fact, i'd very much like to butter your head."
266," wait, wait, chandler, this is what you're havin' for thanksgiving dinner? what, what, what is it with you and this holiday?"," all right, i'm nine years old."
267," oh, i hate this story."," we just finished this magnificent thanksgiving dinner. i have--and i remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced."
268, oh my god.," varrrrrroom! hey! watch it lady! varrrrrrrrrrom! (makes a screeching sound as he pretends to stomp on the brakes.) hey-hey good lookin’! (honks the bed’s little horn on the steering wheel.) varrrrrrrrroom. (notices rachel and stops) all right, i’ll leave. my bed’s so boring."
269, set another place for thanksgiving. my entire family thinks i have vd.," tonight, on a very special blossom."
270," i got the tickets! i got the tickets! five hours from now, shoop, shoop, shoop."," oh, you must stop shooping."
271," chandler, will you just come in already?"," no, i prefer to keep a safe distance from all this merriment."
272," look out, incoming pumpkin pie!"," ok, we all laughed when you did it with the stuffing, but that's not funny anymore."
273," ok, good-bye you guys. thanks for everything. (she starts to leave, and hits everyone with her skis) oh, sorry! oh, sorry!", the most unbelievable thing has happened. underdog has just gotten away.
274, the balloon?," no, no, the actual cartoon character. of course the balloon. it's all over the news. right before he reached macy's, he broke free and was spotted flying over washington square park. i'm goin' to the roof, who's with me?"
275," i can't, i gotta go.",come on. an 80-foot inflatable dog let loose over the city. how often does that happen?
276," no, no, no, you said, ""got the keys"".", do either of you have the keys?
277, why do you guys have so many keys in there anyway?, (sarcastic) for an emergency just like this.
278," why? because everything is my responsibility? isn't it enough that i'm making thanksgiving dinner for everyone? you know, everyone wants a different kind of potatoes, so i'm making different kinds of potatoes. does anybody care what kind of potatoes i want? nooooo, no, no! (starting to cry) just as long as phoebe gets her peas and onions, and mario gets his tots, and it's my first thanksgiving, and it's all burned, and, and i... i..."," ok, monica, only dogs can hear you now, so, look, the door's open. here we go."
279," stop it, stop it, stop it!", now this feels like thanksgiving.
280, it's nice that he has someone., shall i carve?
281, by all means.," ok, who wants light cheese, and who wants dark cheese?"
282, the bigger half.," i'd like to propose a toast. little toast here, ding ding. i know this isn't the kind of thanksgiving that all of you all planned, but for me, this has been really great, you know, i think because it didn't involve divorce or projectile vomiting. anyway, i was just thinking, i mean, if you'd gone to vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know? so i guess what i'm trying to say is that i'm very thankful that all of your thanksgivings sucked."
283, and a crappy new year.," here, here!"
284, that is so cruel! why? why would a parent name their child bethel?," hey, that monkey's got a ross on its ass!"
285," so you guys, i'm doing all new material tonight. i have twelve new songs about my mother's suicide, and one about a snowman.", might wanna open with the snowman.
286," hey, do you guys know what you're doing for new year's? (they all protest and hit her with cushions) gee, what?! what is wrong with new year's?"," nothing for you, you have paolo. you don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! man, i'm talking loud!"
287," yeah, you wish!"," it's just that i'm sick of being a victim of this dick clark holiday. i say this year, no dates, we make a pact. just the six of us- dinner."
288," yeah, okay. alright."," y'know, i was hoping for a little more enthusiasm."
289," well, c'mon, if it's important enough to discuss while i'm playing, then i assume it's important enough for everyone else to hear!"," (quietly, to the others) that guy's going home with a note!"
290," well, he's kinda like the guy i went to see that with. except, except he-he's smarter, and gentler, and sweeter... i just- i just wanna be with him all the time. day and night, and night and day... and special occasions..."," wait a minute, wait a minute, i see where this is going, you're gonna ask him to new year's, aren't you. you're gonna break the pact. she's gonna break the pact."
291," no, no, no, no, no, no. yeah, could i just?"," yeah, 'cause i already asked janice."
292," c'mon, this was a pact! this was your pact!"," i snapped, okay? i couldn't handle the pressure and i snapped."
293," yeah, but janice? that-that was like the worst breakup in history!"," i'm not saying it was a good idea, i'm saying i snapped!"
294," hi. hi, sorry i'm late.", too many jokes... must mock joey!
295," nice shoes, huh? (he wiggles his foot and the bells tinkle)"," aah, y'killing me!"
296," i didn't wanna leave him alone. alright? we- we had our first fight this morning. i think it has to do with my working late. i said some things that i didn't mean, and he- he threw some faeces..."," y'know, if you're gonna work late, i could look in on him for you."
297," oh, that'd be great! okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me."," okay, but if he asks, i'm not going to lie."
298," i'm sorry, okay. it's just that chandler has somebody, and phoebe has somebody- i thought i'd ask fun bobby.", fun bobby? your ex-boyfriend fun bobby?
299, you know more than one fun bobby?, i happen to know a fun bob.
300," oh, it's-it's marcel. he keeps shutting me out, y'know? he's walking around all the time dragging his hands..."," that's so weird, i had such a blast with him the other night."
301, really.," yeah, we played, we watched tv.. that juggling thing is amazing."
302," what, uh... what juggling thing?"," with the balled-up socks? i figured you taught him that.  y'know, it wasn't that big a deal. he just balled up socks... and a melon..."
303," i love this artichoke thing! oh, don't tell me what's in it, the diet starts tomorrow! (laughs her janice laugh)", you remember janice.
304," (startles them) there you are! haaah, you got away from me!", (imitating) but you found me!
305," here, ross, take our picture. (hands him a camera and he starts snapping) smile! you're on janice camera!", kill me. kill me now.
